大項目	中項目	小項目	Prompt
キャラクター	ウマ娘	ゴールドシップ	gold ship (umamusume)
キャラクター	ウマ娘	ゴールドシティ	{{{{gold_city_(umamusume)}}}}
キャラクター	ウマ娘	コパノリッキー	copano rickey (umamusume)
キャラクター	ウマ娘	サイレンススズカ	silence suzuka (umamusume)
キャラクター	ウマ娘	サクラバクシンオー	sakura bakushin o (umamusume)
キャラクター	ウマ娘	サトノダイヤモンド	satono_diamond_(umamusume)
キャラクター	ウマ娘	シュヴァルグラン	{{{{cheval_grand_(umamusume)}}}}
キャラクター	ウマ娘	シンコウウィンディ	shinko windy (umamusume)
キャラクター	ウマ娘	シンボリルドルフ	symboli rudolf (umamusume)
キャラクター	ウマ娘	スーパークリーク	super creek (umamusume)
キャラクター	ウマ娘	スペシャルウィーク	special week (umamusume)
キャラクター	ウマ娘	セイウンスカイ	seiun sky (umamusume)
キャラクター	ウマ娘	ゼンノロブロイ	{{{{zenno_rob_roy_(umamusume)}}}}
キャラクター	ウマ娘	ダイイチルビー	{{{{daiichi_ruby_(umamusume)}}}}
キャラクター	ウマ娘	ダイタクヘリオス	{{{{daitaku_helios_(umamusume)}}}}
キャラクター	ウマ娘	ダイワスカーレット	daiwa scarlet (umamusume)
キャラクター	ウマ娘	タマモクロス	tamamo cross (umamusume)
キャラクター	ウマ娘	ツインターボ	twin turbo (umamusume)
キャラクター	ウマ娘	ツルマルツヨシ	{{{{tsurumaru_tsuyoshi_(umamusume)}}}}
キャラクター	ウマ娘	テイエムオペラオー	t.m. opera o (umamusume),
キャラクター	ウマ娘	トウカイテイオー	tokai teio (umamusume)
キャラクター	ウマ娘	トーセンジョーダン	tosen jordan (umamusume)
キャラクター	ウマ娘	トレセン制服	tracen school uniform
キャラクター	ウマ娘	ナイスネイチャ	nice nature (umamusume)
キャラクター	ウマ娘	ナリタトップロード	{{{{narita_top_road_(umamusume)}}}}
キャラクター	ウマ娘	ナリタブライアン	narita brian (umamusume)
キャラクター	ウマ娘	ニシノフラワー	nishino flower (umamusume),
キャラクター	ウマ娘	ハッピーミーク	{{{{happy_meek_(umamusume)}}}}
キャラクター	ウマ娘	ハルウララ	haru urara (umamusume)
キャラクター	ウマ娘	バンブーメモリー	{{{{bamboo_memory_(umamusume)}}}}
キャラクター	ウマ娘	ヒシアケボノ	hishi akebono (umamusume),
キャラクター	ウマ娘	ヒシアマゾン	hishi amazon (umamusume)
キャラクター	ウマ娘	ヒシミラクル	{{{{hishi_miracle_(umamusume)}}}}
キャラクター	ウマ娘	ビワハヤヒデ	biwa hayahide (umamusume)
キャラクター	ウマ娘	ファインモーション	{{{{fine_motion_(umamusume)}}}}
キャラクター	ウマ娘	フジキセキ	{{{{fuji_kiseki_(umamusume)}}}}
キャラクター	ウマ娘	マーベラスサンデー	{{{{marvelous_sunday_(umamusume)}}}}
キャラクター	ウマ娘	マチカネタンホイザ	matikane tannhauser (umamusume)
キャラクター	ウマ娘	マチカネフクキタル	matikanefukukitaru (umamusume)
キャラクター	ウマ娘	マヤノトップガン	mayano top gun (umamusume), orange hair, two side up, kinky hair
キャラクター	ウマ娘	マンハッタンカフェ	umamusume, {{{{black}}}}long straight hair,{{{{black hair}}}},yellow eyes,black cloth,yellow necktie,very long hair between eyes,black coat,black pleated skirt,black collared shirt,{{luminows eyes}},flat chest
キャラクター	ウマ娘	ミホノブルボン	mihono bourbon (umamusume)
キャラクター	ウマ娘	メイショウドトウ	meisho doto (umamusume),
キャラクター	ウマ娘	メジロアルダン	mejiro ardan (umamusume)
キャラクター	ウマ娘	メジロドーベル	mejiro dober (umamusume)
キャラクター	ウマ娘	メジロパーマー	mejiro palmer (umamusume)
キャラクター	ウマ娘	メジロブライト	mejiro bright (umamusume)
キャラクター	ウマ娘	メジロマックイーン	mejiro mcqueen (umamusume)
キャラクター	ウマ娘	ヤエノムテキ	{{{{yaeno_muteki_(umamusume)}}}}
キャラクター	ウマ娘	ユキノビジン	{{{{yukino_bijin_(umamusume)}}}}
キャラクター	ウマ娘	ライスシャワー	rice shower (umamusume)
キャラクター	ウマ娘	秋川やよい	akikawa yayoi (umamusume)
キャラクター	ウマ娘	駿川たづな	hayakawa tazuna (umamusume)
キャラクター	エロマンガ先生	山田エルフ	{{{{yamada elf (eromanga sensei)}}}}
キャラクター	エロマンガ先生	和泉紗霧	{{{{izumi sagiri (eromanga sensei)}}}}
キャラクター	オーディンスフィア	グウェンドリン	{{{{gwendolyn (odin sphere)}}}}
キャラクター	オーディンスフィア	ベルベット	{{{{velvet (odin sphere)}}}}
キャラクター	オーディンスフィア	メルセデス	{{{{mercedes (odin sphere)}}}}
キャラクター	おしえて! ギャル子ちゃん	ギャル子	{{{{galko  (oshiete! galko-chan)}}}}
キャラクター	おジャ魔女どれみ	春風どれみ	{{{{harukaze_doremi}}}},ojamajo_doremi,double bun hair,blunt bangs,
キャラクター	おジャ魔女どれみ	瀬川おんぷ	{{{{segawa onpu (ojamajo doremi)}}}},loli
キャラクター	おジャ魔女どれみ	藤原はづき（NAI v3不安定）	{{{{fujiwara_hazuki (ojamajo doremi)}}}},loli,glasses,ribbon,brown_hair
キャラクター	おジャ魔女どれみ	飛鳥ももこ	{{{{asuka momoko (ojamajo doremi)}}}}
キャラクター	おジャ魔女どれみ	妹尾あいこ	{{{{senoo aiko (ojamajo doremi)}}}},loli,blue hair
キャラクター	お兄ちゃんはおしまい!	桜花あさひ	{{{{oka asahi (onii-chan wa oshimai!)}}}}
キャラクター	お兄ちゃんはおしまい!	室崎みよ	{{{{murosaki miyo (onii-chan wa oshimai!)}}}}
キャラクター	お兄ちゃんはおしまい!	緒山まひろ	{{{{oyama mahiro (onii-chan wa oshimai!)}}}}
キャラクター	お兄ちゃんはおしまい!	緒山みはり	{{{{oyama mihari (onii-chan wa oshimai!)}}}}
キャラクター	お兄ちゃんはおしまい!	天川なゆた	{{{{tenkawa nayuta (onii-chan wa oshimai!)}}}}
キャラクター	お兄ちゃんはおしまい!	穂月かえで	{{{{hozuki kaede (onii-chan wa oshimai!)}}}}
キャラクター	お兄ちゃんはおしまい!	穂月もみじ	{{{{hozuki momiji (onii-chan wa oshimai!)}}}}
キャラクター	カードキャプターさくら	大道寺 知世	{{{{daidouji_tomoyo}}},cardcaptor sakura
キャラクター	カードキャプターさくら	木之本桜	kinomoto sakura, cardcaptor sakura, loli, child, green eyes, antenna hair, light brown hair, hair intakes, bangs,
キャラクター	カードキャプターさくら	木之本桜	zest_(lossol), cardcaptor_sakura, kero, kinomoto_sakura, , blush, bow, brown_hair, card, closed_mouth, gloves, green_eyes, holding, holding_card, holding_wand, magical_girl, open_mouth, pink_headwear, red_bow, smile, star_(symbol), wand, white_gloves, wings
キャラクター	カードキャプターさくら	木之本桜（マジカルフォーム）	{{{{kinomoto sakura}}}},cardcaptor sakura,magical girl,skirt,petticoat,hat
キャラクター	カードキャプターさくら	李小狼	{{{{xiaolang}}},cardcaptor sakura,1boy,shota
キャラクター	ガールズ＆パンツァー	カチューシャ	katyusha_(girls_und_panzer),{girls und panzer},blonde hair, short hair, blue eyes,flat chest,little, ooarai school uniform,sleeves_past_wrists,
キャラクター	ガールズ＆パンツァー	ダージリン	darjeeling (girls und panzer), short hair, twin braids, bangs, blonde hair, blue eyes, {{red jacket}}, long sleeves, [[[epaulettes]]], {{black skirt}}, pleated skirt, miniskirt, black boots, medium breasts, {{thighhighs}}, potbelly, {{{{{masterpiece}}}}}, {{{{{highly detailed}}}}}, {{{{{Enhance}}}}}, [[[[[anime coloring]]]]], sitting on couch, indoors, [[[[[evil smile]]]]], closed mouse
キャラクター	ガールズ＆パンツァー	角谷杏	{kadotani anzu},{{girls und panzer}},ooarai school uniform,white uniform,[black ribbon],[green skirt],short twintails,red hair,[brown hair],[forehead],brown eyes, flat chest,twintails,hair ornament,black ornament,[collarbone],smile,,solo,[[masterpiece]]
キャラクター	ガールズ＆パンツァー	秋山優花里	akiyama yukari,,solo,{girls und panzer},ooarai school uniform,green skirt, black neckerchief,brown eyes,tareme,brown hair,short hair,small breasts,
キャラクター	ガールズ＆パンツァー	西住しほ	{{nishizumi shiho}},blunt bangs,dark brown hair,brown eyes,long hair,large breasts,half-closed eyes,annoyed,naked towel
キャラクター	ガールズ＆パンツァー	西住まほ	{{nishizumi maho}},blunt bangs,brown eyes,short hair,small breasts, kuromorimine military uniform, half-closed eyes,hat
キャラクター	ガールズ＆パンツァー	西住みほ	{{nishizumi miho}},ooarai school uniform,girls und panzer,[masterpiece]
キャラクター	ガールズ＆パンツァー	武部沙織	takebe saori, girls und panzer,orange hair,blunt bangs, orange eyes, wavy hair,medium hair,zettai ryouiki,black legwear,ooarai school uniform, serafuku, green skirt, black neckerchief,tareme,solo,smile,
キャラクター	かぐや様は告らせたい	四宮かぐや	{{{shinomiya kaguya}}},{{{kaguya-sama wa kokurasetai ~tensai-tachi no renai zunousen~}}},folded ponytail,parted bangs,forehead,red eyes,black hair,hair ribbon,red ribbon,short hair,tsurime,skinny,small breast,shuuchiin academy school uniform, black dress,collared dress,neck ribbon,long sleeves
キャラクター	かぐや様は告らせたい	早坂愛	{{hayasaka ai}}, blonde_hair, blue_eyes, hair_between_eyes, side_ponytail, school unifrom, {shuuchiin_academy_school_uniform}, cowboy_shot
キャラクター	かぐや様は告らせたい	藤原千花	{fujiwara chika},kaguya-sama wa kokurasetai ~tensai-tachi no renai zunousen~, pink hair, blue eyes, long hair,blunt bangs, tareme,large breasts,shuuchiin academy school uniform, black dress,collared dress,neck ribbon,long sleeves
キャラクター	からかい上手の高木さん	高木さん	{{takagi san}}, , solo, forehead, light brown hair , long hair, school uniform, sailor uniform, {{{tareme}}}, brown eyes, {{{round eyes}}}, 13 years old,kind smile, round face, {{{ringed eyes}}}, one length, {{{flat chest}}}, {{{round face}}}, slender, classroom, {{{flat_chest}}}, {{{facial}}}
キャラクター	キボウノチカラ～オトナプリキュア‘23～	夏木りん（大人）	{{{natsuki rin}}},kibou no chikara ~otona precure '23~, adult,
キャラクター	キボウノチカラ～オトナプリキュア‘23～	秋元こまち（大人）	{{{akimoto komachi}}},kibou no chikara ~otona precure '23~, adult,
キャラクター	キボウノチカラ～オトナプリキュア‘23～	春日野うらら（大人）	{{{kasugano urara}}},kibou no chikara ~otona precure '23~, adult,
キャラクター	キボウノチカラ～オトナプリキュア‘23～	水無月かれん（大人）	{{{minazuki karen}}},kibou no chikara ~otona precure '23~, adult,
キャラクター	キボウノチカラ～オトナプリキュア‘23～	美々野くるみ（大人）	{{{mimino kurumi}}},kibou no chikara ~otona precure '23~, adult,
キャラクター	キボウノチカラ～オトナプリキュア‘23～	夢原のぞみ（大人）	{{{yumehara nozomi}}},kibou no chikara ~otona precure '23~, adult,
キャラクター	ギャラクシーエンジェル	ヴァニラ・H	{{{{vanilla h (galaxy angel)}}}}
キャラクター	ギャラクシーエンジェル	ミルフィーユ・桜葉	{{{{milfeulle sakuraba (galaxy angel)}}}}
キャラクター	ギャラクシーエンジェル	ミント・ブラマンシュ	{{{{mint blancmanche (galaxy angel)}}}}
キャラクター	キラキラ☆プリキュアアラモード	キュアカスタード	cure custard (precure)
キャラクター	キラキラ☆プリキュアアラモード	キュアジェラート	cure gelato (precure)
キャラクター	キラキラ☆プリキュアアラモード	キュアショコラ	cure chocolat (precure)
キャラクター	キラキラ☆プリキュアアラモード	キュアパルフェ	cure parfait (precure)
キャラクター	キラキラ☆プリキュアアラモード	キュアホイップ	cure whip (precure)
キャラクター	キラキラ☆プリキュアアラモード	キュアマカロン	cure macaron (precure)
キャラクター	キラキラ☆プリキュアアラモード	一ノ瀬いちか	ichinose ichika (precure)
キャラクター	キラキラ☆プリキュアアラモード	剣城あきら	kenjou akira (precure)
キャラクター	キラキラ☆プリキュアアラモード	美山きらら	miyama kirara (precure)
キャラクター	キラキラ☆プリキュアアラモード	有栖川ひまり	arisugawa himari (precure)
キャラクター	キラキラ☆プリキュアアラモード	立神あおい	tategami aoi (precure)
キャラクター	キラッとプリ☆チャン	桃山みらい	{{{{momoyama_mirai}}}}
キャラクター	キラッとプリ☆チャン	萌黄えも	{{{moegi emo}}}, {{{{{{{{kiratto pri chan}}}}}}}}, yellow hair, green cheerleader, lightblue eyes,
キャラクター	ギルティギア	エルフェルト=ヴァレンタイン	{{{{elphelt_valentine (guilty gear)}}}}
キャラクター	ギルティギア	ディズィー	{{{{dizzy (guilty gear)}}}},yellow ribbon, off shoulder, belt,white sleeves,open jacket, midriff, underboob, Cleavage, black jacket, cute,long jacket
キャラクター	ギルティギア	ブリジット	{{{{bridget_(guilty_gear)}}}}
キャラクター	ギルティギア	ミリア=レイジ	{{{{millia_rage (guilty gear)}}}}
キャラクター	ギルティギア	メイ	{{{{may (guilty gear)}}}},[[[[[rem (re:zero)]]]]],,solo,loli,kawaii,white background,small breasts,bangs,black gloves,bike shorts,black shorts,boots,open mouth,fang,brown eyes,brown hair,cabbie hat,fingerless gloves,full body,pirate hat, smile,hood down,hoodie,leg up,long hair,looking at viewer,orange footwear,orange headwear,orange hoodie,shorts,skull and crossbones
キャラクター	ギルティギア	ラムレザル=ヴァレンタイン	{{{{ramlethal_valentine (guilty gear)}}}}
キャラクター	キルミーベイベー	ソーニャ	{{{{sonya (kill me baby)}}}}
キャラクター	キルミーベイベー	呉織 あぎり	{{{{goshiki agiri (kill me baby)}}}}
キャラクター	キルミーベイベー	折部 やすな	{{{{oribe yasuna (kill me baby)}}}}
キャラクター	きんいろモザイク	アリス・カータレット	{alice cartelet},{in kin-iro_mosaic style}, solo,blonde hair,high twintails,afro twintails,medium hair,bangs, blue eyes,tareme,pink cardigan,white shirt, striped bowtie, blue skirt,white thighhighs
キャラクター	きんいろモザイク	九条カレン	{{{kujou karen}}},in kin-iro_mosaic style, blonde hair,{single side bun},long hair,parted bangs, x hair ornament,hairpin, purple eyes,tsurime,dress shirt, {open hoodie},{blue hoodie},red striped bowtie,blue skirt, pleated skirt, open clothes,game cg
キャラクター	きんいろモザイク	小路綾	{{komichi aya}},in kin-iro_mosaic style, dark blue hair,long hair,twintails,hair between eyes,blue eyes, tareme,school uniform,dark blue sweater,red striped bowtie,blue skirt,pantyhose
キャラクター	きんいろモザイク	大宮忍	{oomiya shinobu},in kin-iro_mosaic style, solo,dark green hair, blunt bangs, bob cut, red eyes, brown eyes, tareme, cowboy shot, lolita fashion,smile,
キャラクター	きんいろモザイク	猪熊陽子	{{inokuma youko}},in kin-iro_mosaic style, brown hair,[[red hair]],medium hair,hair spread out,brown eyes, tareme,fang, school uniform,blue pinafore dress,blouse, blue skirt, medium breasts
キャラクター	グランブルーファンタジー	エルーン（グラブル）	erune
キャラクター	けいおん！	琴吹紬	{{{{kotobuki tsumugi}}}}, [[[[k-on!]]]], blonde long hair, swept bangs, gray eyes, tareme, school uniform,
キャラクター	けいおん！	秋山澪	{{akiyama_mio}},{{long straight hair}},2010s,sketch,k-on,,Sakuragaoka High School uniform
キャラクター	けいおん！	中野梓	{{{nakano_azusa }}}},{loli},twintails,2010s,sketch,k-on,Sakuragaoka High School uniform
キャラクター	けいおん！	田井中律	{{{{tainaka ritsu}}}}, [[[[k-on!]]]], brown hair, short hair, dark yellow eyes, tareme, yellow hairband, forehead, medium breasts, smile, school uniform
キャラクター	けいおん！	平沢唯	{{{{hirasawa yui}}}}, brown hair, short hair, brown eyes, tareme, hairclip, open mouth, medium breasts, school uniform, cowboy shot,K-on！
キャラクター	ゲゲゲの鬼太郎	猫娘	gegege no kitarou, nekomusume
キャラクター	けものの★	ロロ	lolo_(kemonono)
キャラクター	けものフレンズ	アライグマ	{{common raccoon (kemono friends)}},{{blue shirts}},{{black skirt}},{{grey pantyhose}},short hair,black hair,gray hair,{fur collar},black bowtie,large breasts,grey gloves
キャラクター	けものフレンズ	かばん	{kaban (kemono friends)},small breasts,red shirt,hat feather,grey shorts,black pantyhose,short hair,black gloves,
キャラクター	けものフレンズ	キタキツネ	{{{{,{{{orange blazer}}},{{{white skirt}}},{{{black gloves}}},{yellow necktie},{white bowtie}}}}}, {{ezo red fox (kemono friends)}},{[orange::0.5] hair},black hair,long hair,[:yellow:0.5] eyes,fox ears,fox tail,white underwear,medium breasts,white pantyhose,fox girl
キャラクター	けものフレンズ	ギンギツネ	{{blue blazer}},black necktie,{{gray bowtie}},{gray skirt}}}, {{silver fox (kemono friends)}},{gray hair},black hair,long hair,yellow eyes,black animal ears,fox ears,fox tail,{black pantyhose},{black gloves},fox girl
キャラクター	けものフレンズ	コウテイペンギン	{emperor penguin (kemono friends)},large breasts,long hair,black hair,white leotard,white thighhighs,hooded jacket,black jacket,highleg leotard,headphones,hair over one eye
キャラクター	けものフレンズ	サーバル	{serval (kemono friends)},breasts,serval print,white shirt,print skirt,print gloves,short hair,
キャラクター	けものフレンズ	サーバル	serval_(kemono_friends)
キャラクター	けものフレンズ	トキ	{{{,{{head wings}},{red skirt},{white shirt},{red gloves},{red pantyhose}}}}, {{japanese crested ibis (kemono friends)}},{white hair},red hair,long hair,straight hair,small breasts,fur collar,red fur
キャラクター	けものフレンズ	フェネック	{fennec (kemono friends)}, short hair,blonde hair,pink sweater, yellow ribbon, {white skirt}, white gloves
キャラクター	ごちうさ	ここあ	{{{hoto cocoa (gochiusa)}}},hoto cocoa's school uniform,orange hair, hair ornament, pink vest, short hair
キャラクター	ごちうさ	シャロ	{{{{kirima_syaro (gochiusa)}}}}}
キャラクター	ごちうさ	チノちゃん	kafuu chino
キャラクター	ごちうさ	ちや	ujimatsu chiya ,gochuumon wa usagi desu ka?, black hair,long hair,blunt bangs,blown hair,shiny hair,flower ornament,green eyes,medium breasts,loli girl,japanese maid,long sleeve,on cafe
キャラクター	ごちうさ	天々座 理世	{{{tedeza_rize (gochiusa)}}}
キャラクター	この素晴らしい世界に祝福を	アクア	aqua (konosuba)
キャラクター	この素晴らしい世界に祝福を	ウィズ	wiz (konosuba),brown hair,ahoge,hair over one eye,long hair,yellow eyes,{{purple long coat}},purple long skirt
キャラクター	この素晴らしい世界に祝福を	ダクネス	darkness_([[[[[[konosuba]]]]]]), long hair, yellow hair, blue eyes, ponytail, medium breasts, {{x}} hair ornaments, black gloves
キャラクター	この素晴らしい世界に祝福を	めぐみん	megumin
キャラクター	こみっくパーティ	高瀬瑞希	{{{{takase mizuki, comic party}}}},red hair
キャラクター	サクラ大戦	アイリス	{{{{iris (sakura taisen)}}}},blond hair,loli
キャラクター	サクラ大戦	マリア・タチバナ v3 再現不可	{{{{maria tachibana (sakura taisen)}}}}
キャラクター	サクラ大戦	桐島カンナ NAI v3 再現不可	{{{{kirishima kanna (sakura taisen)}}}}
キャラクター	サクラ大戦	真宮寺さくら	{{{{shinguuji sakura (sakura taisen)}}}}
キャラクター	サクラ大戦	神崎すみれ	{{{{kanzaki sumire (sakura taisen)}}}}
キャラクター	サクラ大戦	李紅蘭 NAI v3 再現不可	{{{{li kouran (sakura taisen)}}}},glasses
キャラクター	サクラ大戦3	エリカ・フォンティーヌ NAI v3 再現不可	{{{{erika fontaine (sakura taisen)}}}}
キャラクター	サクラ大戦3	グリシーヌ・ブルーメール	{{{{glycine bleumer (sakura taisen)}}}},blonde hair
キャラクター	サクラ大戦3	コクリコ・タルティーヌ	{{{{coquelicot (sakura_taisen)}}}},loli,dark skin,twin tail
キャラクター	サクラ大戦3	ジェミニ・サンライズ	{{{{gemini sunrise (sakura taisen)}}}}
キャラクター	サクラ大戦3	ハナビ・キタオウジ	{{{{hanabi kitaooji (sakura taisen)}}}},black hair
キャラクター	サクラ大戦3	ロベリア・カルリーニ	{{{{lobelia carlini (sakura taisen)}}}}
キャラクター	サノバウィッチ	因幡めぐる	{{oranged hair}}, chouchou, {{middle wavy hair}}, other side up, hair between eyes, red eyes, yellow scarf, {{pink letterman jacket}}, {serafuku}, sleeves past wrists, blue bowtie
キャラクター	ジャヒー様はくじけない！	ジャヒー（ロリ）	{{jahy-sama_wa_kujikenai!}},{{jahy}},dark purple hair,flat chest,toddler,t-shirts
キャラクター	ジャヒー様はくじけない！	ジャヒー（大人）（Tシャツ）	{{jahy-sama_wa_kujikenai!}},{{jahy}},dark purple hair,middle breasts,tall girl,t-shirts
キャラクター	ジャヒー様はくじけない！	ジャヒー（大人）（変身後の服）	{{jahy-sama_wa_kujikenai!}},{{jahy}},dark purple hair,middle breasts,tall girl,bare shoulders,bare legs,shorts
キャラクター	シュタインズゲート	牧瀬 紅莉栖	{steins;gate},{makise kurisu},,small breasts,red long hair,white shirt tucked in,+black shorts+,short shorts,+red necktie+,pantyhose,+brown jacket+,{jacket on shoulders},+white belt+
キャラクター	スイートプリキュア♪	キュアビート	cure beat (precure)
キャラクター	スイートプリキュア♪	キュアミューズ	cure muse (precure)
キャラクター	スイートプリキュア♪	キュアメロディ	cure melody (precure)
キャラクター	スイートプリキュア♪	キュアリズム	cure rhythm (precure)
キャラクター	スイートプリキュア♪	黒川エレン	kurokawa ellen (precure)
キャラクター	スイートプリキュア♪	水嶋あやせ	minamino kanade (precure)
キャラクター	スイートプリキュア♪	調辺アコ	shirabe ako (precure)
キャラクター	スイートプリキュア♪	北条響	houjou hibiki (precure)
キャラクター	すーぱーそに子	そに子	sonico
キャラクター	スター☆トゥインクルプリキュア	キュアコスモ	cure cosmo (precure)
キャラクター	スター☆トゥインクルプリキュア	キュアスター	cure star (precure)
キャラクター	スター☆トゥインクルプリキュア	キュアセレーネ	cure selene (precure)
キャラクター	スター☆トゥインクルプリキュア	キュアソレイユ	cure soleil (precure)
キャラクター	スター☆トゥインクルプリキュア	キュアミルキー	cure milky (precure)
キャラクター	スター☆トゥインクルプリキュア	ユニ	yuni (precure)
キャラクター	スター☆トゥインクルプリキュア	羽衣ララ	hagoromo lala (precure)
キャラクター	スター☆トゥインクルプリキュア	海野まどか	kaino madoka (precure)
キャラクター	スター☆トゥインクルプリキュア	星奈ひかる	hoshina hikaru (precure)
キャラクター	スター☆トゥインクルプリキュア	天宮えれな	amamiya elena (precure)
キャラクター	スプラトゥーン	インクリング	splatoon inkling girl
キャラクター	スプラトゥーン	インクリング(ボーイ)	splatoon inkling boy
キャラクター	スマイルプリキュア!	キュアサニー	cure sunny (precure)
キャラクター	スマイルプリキュア!	キュアハッピー	cure happy (precure)
キャラクター	スマイルプリキュア!	キュアピース	cure peace (precure)
キャラクター	スマイルプリキュア!	キュアビューティ	cure beauty (precure)
キャラクター	スマイルプリキュア!	キュアマーチ	cure march (precure)
キャラクター	スマイルプリキュア!	黄瀬やよい	kise yayoi (precure)
キャラクター	スマイルプリキュア!	星空みゆき	hoshizora miyuki (precure)
キャラクター	スマイルプリキュア!	青木れいか	aoki reika (precure)
キャラクター	スマイルプリキュア!	日野あかね	hino akane (precure)
キャラクター	スマイルプリキュア!	緑川なお	midorikawa nao (precure)
キャラクター	セーラームーン	セーラーヴィーナス	{{{{sailor_venus (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	セーラーサターン	{{{{sailor_saturn (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	セーラージュピター	{{{{sailor_jupiter (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	セーラーちびムーン	{{{{sailor_chibi_moon　(bishoujo_senshi_sailor_moon)}}}},loli
キャラクター	セーラームーン	セーラーネプチューン	{{{{sailor_neptune (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	セーラーマーキュリー	{{{{sailor_mercury (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	セーラーマーズ	{{{{sailor_mars (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	セーラームーン	{{{{sailor_moon (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	ちびうさ	{{{super sailor chibi moon}}},{{{{{sailor moon}}}}},{{{loli,5 years old,short body,flat chest}}},parted bangs ,{{{short twintails}}}, pink hair,big pink eyes,red_ribbon,{{{white sailor suit,light pink sailor collar,mini skirt}}}
キャラクター	セーラームーン	愛野 美奈子	{{{{aino_minako (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	火野 レイ	{{{{hino_rei (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	海王みちる	{{{{kaiou_michiru (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	月野うさぎ	{{{{tsukino usagi}}}}, [[[[sailor moon]]]], blonde hair, very long twintails, double buns, blue eyes, sailor school uniform, sailor collar, brooch, crescent earrings, red heart choker, hairpin, forehead crescent
キャラクター	セーラームーン	水野 亜美	{{{{mizuno_ami (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	天王 はるか	{{{{ten'ou_haruka (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	土萠 ほたる	{{{{tomoe_hotaru (bishoujo_senshi_sailor_moon)}}}}
キャラクター	セーラームーン	木野 まこと	{{{{kino_makoto (bishoujo_senshi_sailor_moon)}}}}
キャラクター	ゼノブレイド	ヒカリ	mythra(xenoblade)
キャラクター	ゼノブレイド	ホムラ	pyra(xenoblade)
キャラクター	ゼルダの伝説シリーズ	インパ	{{{{impa (the_legend_of_zelda)}}}}
キャラクター	ゼルダの伝説シリーズ	ウルボサ	{{{{urbosa (the_legend_of_zelda)}}}}
キャラクター	ゼルダの伝説シリーズ	コロク	{{{{korok (the_legend_of_zelda)}}}}
キャラクター	ゼルダの伝説シリーズ	ゼルダ	{{{{princess_zelda}}}}
キャラクター	ゼルダの伝説シリーズ	ダルク	{{{{daruk (the_legend_of_zelda)}}}}
キャラクター	ゼルダの伝説シリーズ	トゥーンリンク	{{{{toon_link}}}}
キャラクター	ゼルダの伝説シリーズ	ミーファ	{{{{mipha (the_legend_of_zelda)}}}}
キャラクター	ゼルダの伝説シリーズ	リーバル	{{{{revali (the_legend_of_zelda)}}}}
キャラクター	ゼルダの伝説シリーズ	リンク	{{{{link}}}}
キャラクター	ゼロの使い魔	ルイズ	{{{louise francoise le blanc de la valliere}}}, {zero no tsukaima}, [[[loli]]], [[pink eyes]], [[pink hair]], hair between eyes, very long hair, long hair, wavy hair, small breasts, slender,
キャラクター	ソードアート・オンライン	アスナ	asuna_(sao), long hair, orange hair, orange eyes, floating hair, medium breasts, white legwear, red miniskirt, holding long sword handle
キャラクター	ソードアート・オンライン	アスナ(ALO)	{{{{asuna_(sao-alo)}}}}
キャラクター	ソードアート・オンライン	キリト	{{{{kirito (sao)}}}}
キャラクター	ソードアート・オンライン	キリト(GGO)	{{{{kirito_(sao-ggo)}}}}
キャラクター	ソードアート・オンライン	シノン	{{{{sinon (sao)}}}}
キャラクター	ソードアート・オンライン	シノン(GGO)	{{{{{{sinon}}}}}},{{{{{{{{{{{{{Wear Square hair ornaments(black) {{{{{{{{{{{next to}}}}}}}}}}} both eyes.}}}}}}}}}}}}},{{{{{{{{{{{{black suqare ornaments.}}}}}}}}}}}},{{{{{{{{{{{{{{White scarf}}}}}}}}}}}}}} with {{{{{{{line pattern}}}}}}}., {{{{{{{{{{{{{green eye}}}}}}}}}}}}},short hair,{{{{{{{{{{green cropped jacket}}}}}}}}}}} , {{{{{aqua short hair}}}}},cropped jacket , open jacket,{{{{ {{{{{White}}}}} and black innerwear}}}},arm under breasts , clothing cutout ,black shorts,fingerless gloves , leptosomatic habit ,one person, long sleeves,tiny breasts,small breasts,slender legs,{{skinny}},{{{{{sword art online}}}}}
キャラクター	ソードアート・オンライン	シリカ	style of sword_art_online,silica,loli,light brown hair,red eyes,{short twintails},red Thin ribbon,offical art,,fantasy clothes
キャラクター	ソードアート・オンライン	シリカ(ALO)	{{{{silica_(sao-alo)}}}}
キャラクター	ソードアート・オンライン	ユイ	{{{{yui_(sao)}}}},hime_cut,black_hair,long_hair
